speed,checkpoint,checkpoint_path,seed,action_seed,deterministic,max_steps,steps,sim_seconds,wall_seconds,completed,terminated,truncated,final_progress,best_depth,border_steps
fixedAction10x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,184091230,204352045,False,54000,17019,3403.8,340.4876235910051,True,True,False,1.0,306.0,4804
fixedAction10x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,391728405,411989220,False,54000,8564,1712.8000000000002,171.46116415900178,True,True,False,1.0,306.0,0
fixedAction10x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,548203719,568464534,False,54000,6435,1287.0,129.37987771100597,True,True,False,1.0,306.0,2275
fixedAction10x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,723910864,744171679,False,54000,9024,1804.8000000000002,180.6323308389983,True,True,False,1.0,306.0,0
