speed,checkpoint,checkpoint_path,seed,action_seed,deterministic,max_steps,steps,sim_seconds,wall_seconds,completed,terminated,truncated,final_progress,best_depth,border_steps
repaired10x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,184091230,204352045,False,54000,48468,9693.6,969.3700698500033,True,True,False,1.0,306.0,34288
repaired10x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,391728405,411989220,False,54000,12868,2573.6000000000004,258.00033619999886,True,True,False,1.0,306.0,0
repaired10x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,548203719,568464534,False,54000,21066,4213.2,422.0749681110028,True,True,False,1.0,306.0,1797
repaired10x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,723910864,744171679,False,54000,54000,10800.0,1080.1852572009957,False,False,False,0.5299738049507141,164.0,38414
repaired10x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,886431207,906692022,False,54000,33641,6728.200000000001,673.442019782,True,True,False,1.0,306.0,20003
repaired10x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,1047293851,1067554666,False,54000,54000,10800.0,1080.4904947440082,False,False,False,0.893706202507019,275.0,43038
repaired10x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,1283049762,1303310577,False,54000,19624,3924.8,392.5055885890033,True,True,False,1.0,306.0,44
repaired10x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,1538920476,1559181291,False,54000,15176,3035.2000000000003,304.8049329259957,True,True,False,1.0,306.0,2439
